image,ad_url,title,currency,price,city,date,description,bedrooms
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/north-york-2-bedroom-apartment-for-rent/1620782726,North York 2 Bedroom Apartment for Rent,$,"2,345",City of Toronto,07-09-2022,"Join us for our Open House Every Saturday from 11:00 - 1:00pm To view our property from the comfort of your own home, click the virtual tour link above! Virtual tours are for illustrative purposes ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Enjoy Condo Living Without the Fees",2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/north-york-2-bedroom-apartment-for-rent/1620782726,North York 2 Bedroom Apartment for Rent,$,"2,345",City of Toronto,07-09-2022,"Join us for our Open House Every Saturday from 11:00 - 1:00pm To view our property from the comfort of your own home, click the virtual tour link above! Virtual tours are for illustrative purposes ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Enjoy Condo Living Without the Fees",2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-pharmacy-place-near-danforth-victoria-park/1631590806,3 Bedroom - Pharmacy Place - Near Danforth & Victoria Park,$,"2,500",City of Toronto,09-09-2022,Located only 10 minutes north of Lake Ontario and Ashbridges Bay Park. Only 20 minutes east of downtown Toronto on a major city bus route at the intersection of Pharmacy Ave. and Dolphin Drive. Three ...,3
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/buy-a-house-with-our-exclusive-0-down-or-rent-to-own-program/1615371983,BUY A HOUSE WITH OUR *EXCLUSIVE* $0 DOWN OR RENT-TO-OWN PROGRAM,No information,No information,City of Toronto,09-09-2022,***Buy Any house with our exclusive Zero Down/Rent-To-Own Programs or 5%/10% down payment based on your qualifications (Need to be working Permanent full-time) (Credit has to be 650+) ONLY 15 SPOTS ...,4
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-1-bath-for-rent/1624808036,2 BED 1 BATH FOR RENT,$,"2,500",City of Toronto,05-09-2022,SEPARATE ENTRANCE,2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/rent-an-apartment-stress-free-with-bad-credit/1629558790,RENT AN APARTMENT STRESS FREE  WITH BAD CREDIT,$,"1,750",City of Toronto,09-09-2022,We can help you qualify for a rental home even if you have: BAD Credit NO Credit NO rental historyFiled for BankruptcyRecently DivorcedDenied for a Rental application We can help you with: Clear ...,1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1570-lawrence-avenue-west-2-bedroom-apartment-for-rent/1627716030,1570 Lawrence Avenue West  - 2 Bedroom Apartment for Rent,$,"2,399",Toronto,09-09-2022,"Luxury rentals coming up at 1570 Lawrence Avenue West, located in the North York region of Toronto. Enquire now for 1, 2 & 3 bedroom suites available from Summer, 2022 This property is located in the ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Luxury 1, 2 & 3 Bedroom Rental Suites coming up at 1570 Lawrence Avenue West. Join our Waitlist Today!",2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1570-lawrence-avenue-west-1-bedroom-apartment-for-rent/1627716004,1570 Lawrence Avenue West  - 1 Bedroom Apartment for Rent,$,"2,099",City of Toronto,09-09-2022,"Luxury rentals coming up at 1570 Lawrence Avenue West, located in the North York region of Toronto. Enquire now for 1, 2 & 3 bedroom suites available from Summer, 2022 This property is located in the ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Luxury 1, 2 & 3 Bedroom Rental Suites coming up at 1570 Lawrence Avenue West. Join our Waitlist Today!",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-2-bedroom-suite-don-mills-sheppard-ave-e/1631277280,Upscale 2 Bedroom Suite Don Mills & Sheppard Ave E,$,"2,349",Toronto,09-09-2022,"Our renovated apartments at 25 Leith Hill are conveniently located at Leith Hill Rd, near Don Mills Rd in Toronto's North York region. Please contact Lola at (416) 494-0521 to schedule a viewing. ...",2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-in-the-heart-of-etobicoke-get-1-month-free-rent/1588422652,2 Bedroom in the heart of Etobicoke! | Get 1 Month FREE Rent!,$,"2,849",Etobicoke,09-09-2022,"Station Place is located at 5249 Dundas St W conveniently located near the Bloor and Kipling intersection. Brand new, never lived in before suites featuring spacious layouts with large bedrooms and ...",2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-october-15th-get-a-500-credit/1588422660,1 Bedroom Available October 15th | Get a $500 Credit!,$,"2,199",Etobicoke,09-09-2022,"Station Place is located at 5249 Dundas St W conveniently located near the Bloor and Kipling intersection. Brand new, never lived in before suites featuring spacious layouts with large bedrooms and ...",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-available-november-15th-get-a-500-credit/1618586407,Studio Available November 15th | Get a $500 Credit!,$,"1,999",Etobicoke,09-09-2022,"Station Place is located at 5249 Dundas St W conveniently located near the Bloor and Kipling intersection. Brand new, never lived in before suites featuring spacious layouts with large bedrooms and ...","Beds:
                                                     Bachelor/Studio"
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-october-1st-call-for-more-details/1615795276,1 Bedroom available October 1st | Call for more details!,$,"1,999",Scarborough,09-09-2022,"Biggin Court Apartments are located at 1, 2, 3, 5, and 7 Biggin Court in Scarborough, near the Victoria Park Avenue and Eglinton Avenue East intersection. This ""Feel at Home"" community offers a ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Great Scarborough Location in Victoria Village! Walking distance to Metro, Shopper's Drug Mart & Tim's! Close to DVP and TTC buses 24, 34 and 70!",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-october-15th-call-now/1611189855,1 Bedroom Available October 15th | CALL NOW!,$,"1,925",Toronto,09-09-2022,"Located at 5 Dufresne Court, near the intersection of Don Mills Rd and Eglinton Ave. E, Dufresne Court Apartments has 1, 2, and 3 bedroom suites. Suites offers: Gorgeous parquet flooring Ceramic ...",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-available-nov-15th-kennedy-and-401-call-today/1631516883,2 Bedroom Available Nov.15th | Kennedy and 401! Call Today!,$,"2,175",Scarborough,09-09-2022,"Located at Kennedy and 401, Antrim Apartments offers one and two-bedroom suites that are ideal for everyone. Suites offer: Parquet flooring Ample storage space (large storage room) Galley-style ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Great Scarborough Location! Walking Distance to Chapters, Metro & Restaurants! 43 Kennedy TTC Bus Outside Your Door!",2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-november-15th-call-now/1630119048,1 Bedroom Available November 15th | Call Now!,$,"1,999",Toronto,09-09-2022,"Thorncliffe Park Apartments are located at 27 Thorncliffe Park Drive in Toronto (East York), near the Thorncliffe Park Drive and Overlea Boulevard intersection. The apartment is accessible via TTC ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Schools, Restaurants & Transit! Easy Access to the DVP!",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-october-15th-call-for-details/1608187922,1 Bedroom Available October 15th | Call for details!,$,"1,949",Scarborough,09-09-2022,"Victoria Park Apartments are located in Scarborough near the Lawrence Avenue East and Victoria Park Avenue intersection. The buildings offer apartments for rent such as bachelor, 1 bedroom apartment, ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Great Scarborough Location in Wexford - Close to Schools & Grocery - 54 TTC Bus/Lawrence & DVP",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-available-nov-15th-vic-park-lawrence-ave-e/1631397142,2 Bedroom available Nov.15th -Vic Park/Lawrence Ave E!,$,"2,199",Scarborough,09-09-2022,"Victoria Park Apartments are located in Scarborough near the Lawrence Avenue East and Victoria Park Avenue intersection. The community is highly accessible via public transportation through the DVP ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Great Scarborough Location in Wexford - Close to Schools & Grocery - 54 TTC Bus/Lawrence & DVP",2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-available-sept-15th-victoria-park-eglinton/1631943335,1 bedroom Available Sept.15th! | Victoria Park & Eglinton!,$,"1,949",Scarborough,09-09-2022,"Victoria Park Apartments is located at 1631 Victoria Park Ave., near the intersection of Lawrence Ave E and Victoria Park Ave. The buildings offer bachelor, 1 and 2 bedroom, freshly painted suites, ...
                        
                            
                            
                                
                            
                            
                        

                        
                            
                                Conveniently located near Vic Park & Eglinton! Close to shopping, schools & restaurants!",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-2-bedroom-basement-for-rent-from-october-1st/1632328423,Scarborough 2 bedroom basement for rent from October 1st,No information,No information,Scarborough,09-09-2022,SCARBOROUGH BASEMENT FOR RENT: Mclevin and Glanvil crescent .Scarborough. -Separate entrance. -Specious 2 bedroom . -One full washroom . -Eat in kitchen. -Furnished. -Free WiFi. -Tenants pay 40% ...,2
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/luxurious-1-bedroom-waterfront-condo-at-city-place/1632328292,Luxurious 1 bedroom Waterfront Condo at City Place,$,"2,270",Toronto,09-09-2022,"Luxurious Quartz Condo at City Place, One Bedroom 560 S.F.+Balcony 110 S.F Bright West Side with Gorgeous Lake View. Very Practical Layout, Open Concept, Lots Of Windows Along Dining, Living And ...",1
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/gorgeous-townhome-for-rent-in-north-york/1632327603,Gorgeous TownHome for Rent in North York,$,"3,000",Toronto,09-09-2022,"Immaculate, Very Spacious and Very Bright Town House Located at Eglinton and Victoria Park Close To All Amenities, Shopping, Transit, Schools And Hwys. Conveniently Located Within Walking Distance To ...",3
https://ca.classistatic.com/static/V/11161/img/placeholder-large.png,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-2-bedroom-condo-in-north-york-utilities-included/1632327596,Renovated 2-Bedroom Condo in North York (Utilities Included),$,"2,595",Toronto,09-09-2022,"eautiful & Bright 2 Bedroom Condo for rent! This condo is very spacious and has an open concept kitchen and beautiful dining room. This condo also comes with all new Appliances and Fixtures, 4-piece ...",2
